Date,Open,High,Low,Close,Adj Close,Volume
2021-06-16,10742.500000,10772.250000,10644.549805,10669.450195,10669.450195,731100
2021-06-17,10618.700195,10664.950195,10484.950195,10523.000000,10523.000000,764800
2021-06-18,10540.750000,10552.049805,10229.099609,10443.750000,10443.750000,1220500
2021-06-21,10319.099609,10420.650391,10276.099609,10401.150391,10401.150391,636500
2021-06-22,10456.000000,10614.299805,10451.500000,10540.450195,10540.450195,674900
2021-06-23,10599.500000,10684.950195,10551.150391,10588.500000,10588.500000,610500
2021-06-24,10604.549805,10638.250000,10550.849609,10618.450195,10618.450195,471600
2021-06-25,10644.650391,10754.900391,10643.900391,10706.799805,10706.799805,1413200
2021-06-28,10746.099609,10746.099609,10676.900391,10709.900391,10709.900391,515100
2021-06-29,10712.150391,10754.950195,10588.250000,10612.250000,10612.250000,770400
2021-06-30,10637.750000,10699.500000,10583.000000,10600.349609,10600.349609,518900
2021-07-01,10620.150391,10744.099609,10619.549805,10687.700195,10687.700195,738600
2021-07-02,10741.450195,10743.799805,10646.200195,10685.500000,10685.500000,450100
2021-07-05,null,null,null,null,null,null
2021-07-06,10755.150391,10816.849609,10527.500000,10559.700195,10559.700195,2086000
2021-07-07,10565.299805,10598.000000,10493.650391,10552.500000,10552.500000,1445100
2021-07-08,10510.349609,10558.250000,10425.950195,10456.000000,10456.000000,1261700
2021-07-09,10444.000000,10456.049805,10386.049805,10420.299805,10420.299805,894300
2021-07-12,10496.500000,10523.000000,10422.750000,10438.200195,10438.200195,574600
2021-07-13,10505.700195,10531.250000,10463.599609,10497.799805,10497.799805,557200
2021-07-14,10503.750000,10510.650391,10455.750000,10467.900391,10467.900391,519519000
2021-07-15,10480.950195,10488.250000,10404.250000,10426.000000,10426.000000,485000
2021-07-16,10458.950195,10459.599609,10400.349609,10428.450195,10428.450195,427900
2021-07-19,10372.299805,10379.700195,10268.400391,10310.900391,10310.900391,466400
2021-07-20,10318.400391,10341.299805,10175.599609,10222.200195,10222.200195,531400
2021-07-22,10296.400391,10303.250000,10189.150391,10235.799805,10235.799805,461600
2021-07-23,10249.299805,10297.599609,10190.799805,10201.349609,10201.349609,564100
2021-07-26,10204.650391,10212.650391,10127.150391,10137.950195,10137.950195,482800
2021-07-27,10153.150391,10217.099609,10047.650391,10094.349609,10094.349609,814900
2021-07-28,10119.099609,10122.549805,9947.950195,10000.400391,10000.400391,594000
2021-07-29,10021.000000,10027.950195,9945.799805,9956.650391,9956.650391,908100
2021-07-30,9990.700195,10179.599609,9976.900391,10048.500000,10048.500000,1486900
2021-08-02,10162.750000,10190.299805,10114.099609,10183.450195,10183.450195,602300
2021-08-03,10220.099609,10355.650391,10206.450195,10342.599609,10342.599609,943100
2021-08-04,10378.900391,10408.000000,10203.200195,10246.799805,10246.799805,736000
2021-08-05,10237.650391,10240.000000,10157.700195,10224.900391,10224.900391,565700
2021-08-06,10263.299805,10316.400391,10235.549805,10249.500000,10249.500000,468800
2021-08-09,10274.750000,10348.799805,10200.450195,10239.000000,10239.000000,600909000
2021-08-10,10247.099609,10271.799805,10095.099609,10158.750000,10158.750000,785700
2021-08-11,10173.799805,10225.349609,10000.950195,10140.400391,10140.400391,611700
2021-08-12,10177.349609,10223.750000,10137.099609,10180.549805,10180.549805,821700
2021-08-13,10218.650391,10240.849609,10151.599609,10178.299805,10178.299805,991100
2021-08-16,10182.299805,10209.200195,10071.099609,10088.799805,10088.799805,529100
2021-08-17,10073.400391,10100.450195,9963.250000,10088.299805,10088.299805,719000
2021-08-18,10123.750000,10134.150391,10045.599609,10067.950195,10067.950195,516600
2021-08-20,9972.549805,10032.549805,9876.599609,9904.700195,9904.700195,819800
2021-08-23,9982.549805,10007.650391,9744.500000,9759.150391,9759.150391,672800
2021-08-24,9779.000000,9851.549805,9704.599609,9832.799805,9832.799805,743400
2021-08-25,9874.450195,9899.250000,9799.099609,9808.650391,9808.650391,737100
2021-08-26,9801.650391,9812.950195,9745.950195,9763.099609,9763.099609,451000
2021-08-27,9768.349609,9812.000000,9718.250000,9793.849609,9793.849609,487700
2021-08-30,9867.700195,9968.750000,9863.450195,9957.900391,9957.900391,592000
